CoC Number,County,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,CoC Number Original,CoC Name,CoC Category,State,Median_House_Values_1_year,Percentage_of_Households_with_Cost_Burden_1_year,Median_Rent_1_year,Median_Gross_Rent_1_year,Share_of_Renter_Occupied_Units_1_year,Rental_Vacancy_Rates_1_year,Total_Housing_Units_1_year,Share_of_Overcrowded_Housing_Units_1_year,Share_of_Single_Person_Households_1_year,Median_Rental_Utility_Cost_1_year,Median_House_Values_5_year,Percentage_of_Households_with_Cost_Burden_5_year,Median_Rent_5_year,Median_Gross_Rent_5_year,Share_of_Renter_Occupied_Units_5_year,Rental_Vacancy_Rates_5_year,Total_Housing_Units_5_year,Share_of_Overcrowded_Housing_Units_5_year,Share_of_Single_Person_Households_5_year,Median_Rental_Utility_Cost_5_year,Geography,FIPS code,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,LAUS Code,State FIPS,County FIPS,Labor Force,Employed,Unemployed,Unemployment Rate,Total Population,Share of Single-Adult Households,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Total Two or more races,Estimate Total Some Other Race alone,Estimate Total Two or More Races,Estimate Total  10 to 14 years,Estimate Total  15 to 17 years,Estimate Total  18 and 19 years,Estimate Total  20 years,Estimate Total  21 years,Estimate Total  22 to 24 years,Estimate Total  25 to 29 years,Estimate Total  30 to 34 years,Estimate Total  35 to 39 years,Estimate Total  40 to 44 years,Estimate Total  45 to 49 years,Estimate Total  5 to 9 years,Estimate Total  50 to 54 years,Estimate Total  55 to 59 years,Estimate Total  60 and 61 years,Estimate Total  62 to 64 years,Estimate Total  65 and 66 years,Estimate Total  67 to 69 years,Estimate Total  70 to 74 years,Estimate Total  75 to 79 years,Estimate Total  80 to 84 years,Estimate Total  85 years and over,Estimate Total  Under 5 years,Proportion of Females,Estimate Gini Index,Median Household Income,Gini Index,Poverty Rate,JanuaryPrecipitation,YearlyPrecipitation,SummerTemperature,JanuaryTemperature,Share of Families Receiving Cash Assistance,Percentage of Homes Built before 1940,HUD_Assisted_Total_Units,Total Housing Units,Share of HUD-Assisted Units,HUD_Subsidized_Total_Units,pct_occupied,number_reported,pct_reported,Disabled workers,Total,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,With a Disability Estimate Population Age 16 and Over,Aged,Blind and disabled,SSI Participation Rate (Percent),SSDI Participation Rate (Percent),total_homeless_per_10k,total_sheltered_homeless_per_10k,unsheltered_homeless_per_10k
NJ-507,middlesex county,2012,1145,833,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,318400,0.4579817928046163,1134,1532,0.34,46,297516,0.010499864,0,398,340000,0.4479117684777497,1131,1580,0.33,5.1,295165,0.009687979,0,449,0500000US34023,34023,-4.03,589.12,176.86,150.23,CN3402300000000,34,23,429328,392051,37277,8.7,823041,0.078923164,0.62,0.1,0,0.23,0,0.03,0.02,,,0.062090467,0.039008992,0.030190477,0.016927468,0.016796247,0.037524255,0.067589585,0.070465505,0.06946191,0.072669527,0.073917338,0.062495064,0.074019399,0.062809751,0.025451952,0.030213562,0.019435241,0.022171435,0.027722799,0.021628327,0.017462071,0.019968629,0.059980001,0.51,0.4271,77478,0.4271,9.9,2.85,64.88,74.8,56.3,0.2268836329604531,0.1067001438578093,,,,10963,93,9611,93,,,,,,,,,12.437885969557943,9.506357075,2.9315288948618625
NJ-507,middlesex county,2013,1031,788,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,312900,0.4784185149469624,1147,1484,0.37,41,298129,0.012139359,0,337,330000,0.4600195565088477,1144,1578,0.34,5.1,296281,0.009128504,0,434,0500000US34023,34023,0.97,594.84,178.58,151.69,CN3402300000000,34,23,429073,396005,33068,7.7,828919,0.081100807,0.61,0.1,0,0.23,0,0.04,0.02,,,0.065888223,0.038714277,0.029683238,0.015194488,0.016357449,0.037386041,0.069133414,0.070208307,0.067013785,0.073481245,0.07248356,0.057386789,0.073728555,0.064450206,0.025357122,0.031539873,0.018677338,0.022272381,0.031088683,0.022665665,0.01796798,0.018911377,0.060410004,0.51,0.4269,76848,0.4269,9.5,3.25,39.62,74.4,53.2,0.245756004,0.1037638069426322,,,,10312,95,9441,94,16375,126715,656850,69744,4627,8344,1.9747278678541524,2.492958818603943,9.589894499203034,8.370232106536315,1.219662393
NJ-507,middlesex county,2014,802,700,102,255,64,483,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,320900,0.4493949188214071,1206,1543,0.38,44,299506,0.007045888,0,337,325000,0.463439941,1166,1574,0.35,4.7,297375,0.010014813,0,408,0500000US34023,34023,3.71,616.89,185.2,157.31,CN3402300000000,34,23,431888,405613,26275,6.1,836297,0.078855957,0.6,0.1,0,0.24,0,0.04,0.02,,,0.063112746,0.037742572,0.029082969,0.018337983,0.014003398,0.035981236,0.070333865,0.070373324,0.066799235,0.072721772,0.070715308,0.058991004,0.073342365,0.067208181,0.025816187,0.031302277,0.020525005,0.02468501,0.029405821,0.021216147,0.017332359,0.020695997,0.060275237,0.51,0.425,77682,0.425,8.2,4.24,45.1,72.4,52.6,0.2355490411628191,0.095937978,,,,10634,94,9754,100,16610,128715,664559,68044,4624,8352,1.952573059728331,2.4994018589771563,7.182780354,6.278986799857297,0.9037935545249138
NJ-507,middlesex county,2015,604,528,76,150,48,406,234,369,193,318,0,0,0,3,21,256,5,1,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,332900,0.4657756366397045,1207,1524,0.38,46,299594,0.012736109,0,317,323300,0.4667381335239116,1176,1553,0.36,4.6,297940,0.010643201,0,377,0500000US34023,34023,3.01,635.48,190.78,162.05,CN3402300000000,34,23,435590,413432,22158,5.1,840900,0.071277203,0.6,0.1,0,0.24,0,0.03,0.02,,,0.062508027,0.037652515,0.02906053,0.014747295,0.016478773,0.035024379,0.07098347,0.069757403,0.073119277,0.065718873,0.070197408,0.059099774,0.07232489,0.068924961,0.025434653,0.032133428,0.020505411,0.025982875,0.030724224,0.023738851,0.015834225,0.020504222,0.059544536,0.51,0.4387,78643,0.4387,8.5,3.79,50.73,74.4,55,0.2497235603503812,0.09290907,,,,10512,93,9758,100,16545,130015,669314,69858,4792,8527,1.9899479168222984,2.4719339502834248,5.459499948033207,4.4560032398608005,1.0034967081724055
NJ-507,middlesex county,2016,457,373,84,144,34,279,194,261,144,220,0,0,0,0,9,221,4,3,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,333200,0.4471859315735029,1286,1598,0.37,32,300611,0.011348053,0,312,324500,0.4602234473337561,1204,1567,0.36,4,298832,0.011073888,0,363,0500000US34023,34023,2.2,649.46,194.97,165.61,CN3402300000000,34,23,437399,418163,19236,4.4,837073,0.077337341,0.59,0.1,0,0.24,0,0.04,0.03,,,0.057713007,0.037941733,0.028594878,0.01862681,0.013681005,0.034534622,0.070104997,0.069797975,0.07090421,0.066144769,0.069338039,0.063843894,0.070763243,0.068525684,0.027205513,0.032521656,0.020680395,0.026990478,0.033271889,0.023029055,0.0170248,0.020613495,0.058147856,0.51,0.4305,82375,0.4305,8.6,4.42,39.34,75.6,56.1,0.2391220620661101,0.087614891,20503,298832,0.068610457,,,,,16150,131195,666351,73856,4864,8452,1.998346216933718,2.4236475971372444,6.478420689180563,4.995265769496369,1.4831549196841947
NJ-507,middlesex county,2017,546,421,125,146,49,351,224,320,181,275,0,0,0,0,10,248,9,4,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,340700,0.464284335,1325,1630,0.36,32,301497,0.010474836,0.22,305,329000,0.4635369276933501,1243,1598,0.36,3.8,299753,0.010733137,0.23,355,0500000US34023,34023,2.58,666.22,200,169.89,CN3402300000000,34,23,452028,433951,18077,4,842798,0.075691921,0.57,0.1,0,0.25,0,0.04,0.03,,,0.061502282,0.037681627,0.028259441,0.016865251,0.016983904,0.032220057,0.068769741,0.069274013,0.074221818,0.063392414,0.069155361,0.060052349,0.070109326,0.06797121,0.026255402,0.035415366,0.019736639,0.028509797,0.034730742,0.023942866,0.017212903,0.020945707,0.056791782,0.51,0.4317,85337,0.4317,8.6,2.13,39.56,73.2,54.5,0.2567238329542908,0.1111586516615422,,,,9690,94,9753,100,15875,132975,673436,70781,4999,8475,2.000784038869321,2.3573138353161998,7.195501907,5.616589428518052,1.578912478832328
NJ-507,middlesex county,2018,597,466,131,150,40,407,257,340,204,316,0,0,0,0,16,261,4,0,['NJ-507'],['New Brunswick/Middlesex County CoC'],Largely Suburban CoC,new jersey,352300,0.4434061110639141,1347,1641,0.37,34,302255,0.013860866,0.23,294,336200,0.4565930902111324,1304,1643,0.37,3.8,300541,0.01159149,0.22,339,0500000US34023,34023,3.56,689.95,207.13,175.94,CN3402300000000,34,23,449560,433748,15812,3.5,829685,0.078722648,0.56,0.1,0,0.24,0,0.05,0.03,,,0.063043203,0.037660076,0.027440535,0.018175573,0.013841398,0.033218631,0.066765098,0.068836968,0.073902746,0.063720569,0.067863105,0.058419762,0.069134672,0.069492639,0.026337706,0.034781875,0.022025226,0.028096205,0.035491783,0.024310431,0.017811579,0.021885414,0.057744807,0.51,0.4307,88217,0.4307,8.3,4.97,43.87,75,54.8,0.2592063492063492,0.1042629567749086,,,,9525,102,9810,100,15290,134380,662796,72994,5105,8489,2.051008153338282,2.306893826,7.514586782569068,5.878346112170965,1.6362406703981036
NJ-508,monmouth county,2010,604,576,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,399900,0.5540514972737749,1013,1766,0.25,60,258532,0.007634857,0,753,424800,0.5223253245943683,998,,0.24,5.9,256504,0.005199709,0,,0500000US34025,34025,-4.2,816.83,207.57,162.92,,,,,,,,630966,0.099295366,0.83,0.07,0,0.05,0,0.02,0.03,,,0.070759756,0.045590412,0.024349965,0.009214443,0.012070381,0.032271152,0.052044009,0.051559038,0.060803593,0.075825005,0.089179132,0.066629581,0.08649119,0.071037108,0.024300834,0.035049432,0.016656999,0.023036107,0.030776619,0.025175683,0.021297503,0.020853739,0.055028322,0.51,,80816,0.478,6.6,3.34,49.42,76.5,28.7,0.2578109302792847,0.1517993904042826,,,,,,,,,,,,,,,,8.858673259167697,8.541726094260087,0.31694716490760994
NJ-508,monmouth county,2011,559,539,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,387400,0.542753986,1035,1735,0.24,73,259015,0.009022569,0,700,413500,0.5297569597878922,1044,1823,0.24,5.9,257641,0.006314345,0,779,0500000US34025,34025,-3.89,785.04,199.49,156.58,,,,,,,,631020,0.093857564,0.84,0.07,0,0.05,0,0.01,0.02,,,0.074978606,0.04474977,0.024875598,0.010383189,0.010746094,0.034377674,0.052383443,0.051418339,0.058643149,0.072961237,0.086586796,0.059858642,0.088246014,0.07423695,0.022958068,0.038001965,0.017470128,0.02402618,0.031710564,0.024343127,0.01937498,0.024217933,0.053451555,0.51,0.4687,79334,0.4687,6.6,2.56,43.98,75.2,36.5,0.2485120787813509,0.1428218442947319,,,,,,,,,,,,,,,,10.327558374537643,9.453688050538304,0.873870324
NJ-508,monmouth county,2012,650,595,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,373500,0.5571404138874636,1089,1763,0.25,50,259616,0.003167729,0,674,399000,0.5450639260597345,1077,1841,0.24,5.8,258480,0.006188453,0,764,0500000US34025,34025,-2.93,762.05,193.64,151.99,CN3402500000000,34,25,329833,300866,28967,8.8,629384,0.095909651,0.83,0.08,0,0.05,0,0.02,0.02,,,0.073565582,0.044365602,0.025685432,0.013649854,0.010511866,0.031451387,0.053849478,0.051064215,0.052319411,0.075731191,0.083853419,0.059569357,0.08812585,0.073815032,0.026330507,0.037285663,0.023753384,0.024107699,0.031750092,0.026845296,0.020189582,0.020591563,0.051588537,0.51,0.4574,81308,0.4574,7.2,2.72,63.16,74.6,56.3,0.2513442813544543,0.1400645568840133,,,,11487,92,9586,96,,,,,,,,,14.579018917785767,14.007292685715736,0.5717262320700301
NJ-508,monmouth county,2013,918,882,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,380600,0.5426115431846091,1100,1691,0.26,39,259791,0.005349805,0,591,389900,0.5459533134348958,1088,1813,0.25,5.4,258988,0.005827052,0,725,0500000US34025,34025,1.38,772.55,196.31,154.09,CN3402500000000,34,25,326499,301360,25139,7.7,629672,0.089349693,0.82,0.08,0,0.05,0,0.03,0.02,,,0.068353047,0.043633828,0.025111487,0.01271138,0.009107917,0.036050515,0.05346752,0.051188555,0.049567076,0.074821494,0.080967551,0.062137113,0.08792673,0.078267733,0.025425936,0.037529063,0.022945279,0.024652518,0.036345907,0.021789122,0.020469387,0.025446582,0.05208426,0.51,0.4611,83749,0.4611,7.7,3.71,42.04,74.3,53.3,0.2696569053949634,0.1495817791994333,,,,10408,93,8872,97,,,,,,,,,9.344027053183087,9.153332623526289,0.19069442965679773
NJ-508,monmouth county,2014,588,576,12,239,60,289,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,387900,0.513148566,1136,1722,0.27,63,260754,0.003389889,0,586,386900,0.5459044455366676,1115,1796,0.25,5.6,259572,0.005309545,0,681,0500000US34025,34025,4.27,805.54,204.7,160.67,CN3402500000000,34,25,325472,305760,19712,6.1,629279,0.094681373,0.82,0.07,0,0.05,0,0.03,0.03,,,0.066358483,0.043684916,0.024469274,0.008864113,0.012528624,0.038663296,0.053308628,0.052251863,0.059947972,0.060500986,0.077652361,0.061163649,0.088049975,0.080638318,0.026967371,0.037131384,0.02330127,0.026039324,0.038234233,0.023617505,0.019932335,0.024955544,0.051738577,0.51,0.4753,88413,0.4753,8.2,4.89,46.46,72.5,52.8,0.270948001,0.1513802281077184,,,,10890,92,9569,100,,,,,,,,,7.252888828801603,6.680292342317266,0.572596486
NJ-508,monmouth county,2015,456,420,36,147,38,271,218,238,72,204,0,0,0,0,8,240,4,0,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,396000,0.5156207290209509,1157,1753,0.27,41,260683,0.003148934,0,596,385100,0.5401074890752926,1119,1765,0.26,5.2,259823,0.004633105,0,646,0500000US34025,34025,2.52,825.83,209.85,164.71,CN3402500000000,34,25,326151,309467,16684,5.1,628715,0.097312773,0.82,0.07,0,0.05,0,0.03,0.02,,,0.063125582,0.043084705,0.024088816,0.011407394,0.011763677,0.037514613,0.053725456,0.05254368,0.054380761,0.06434394,0.075278942,0.06198357,0.086500243,0.084968547,0.026506446,0.03698019,0.022343987,0.034875898,0.03537851,0.026935893,0.01739739,0.023322173,0.051549589,0.51,0.4818,87092,0.4818,7.4,4.05,55.43,74.2,55,0.2873593428154052,0.1379184680243821,,,,11041,91,9536,100,,,,,,,,,5.496559856578136,4.777533131,0.7190267254244654
NJ-508,monmouth county,2016,344,299,45,92,28,224,152,192,66,172,0,0,0,9,14,146,0,3,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,411300,0.518672263,1241,1801,0.28,31,261053,0.005070005,0,560,387500,0.5392270610343982,1160,1772,0.26,4.4,260222,0.004070976,0,612,0500000US34025,34025,2.85,849.4,215.84,169.42,CN3402500000000,34,25,327405,312929,14476,4.4,625846,0.095317378,0.82,0.07,0,0.06,0,0.03,0.02,,,0.06357155,0.042628698,0.024130537,0.009908188,0.011250371,0.040235138,0.0538567,0.052990672,0.055277177,0.059870959,0.074074133,0.060641116,0.084301889,0.084814795,0.027639387,0.039519307,0.019364189,0.034184128,0.041954411,0.026417042,0.020778275,0.023095138,0.049496202,0.51,0.467,90226,0.467,6.9,5.03,41.19,75.5,55.9,0.2907856923722287,0.1532677272431268,20759,260222,0.079774193,,,,,,,,,,,,,4.773681210694962,4.0711996947398505,0.7024815159551113
NJ-508,monmouth county,2017,299,255,44,99,22,178,134,164,55,135,0,0,0,0,36,123,4,1,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,421700,0.4956733638352894,1225,1779,0.26,25,261461,0.005693026,0.26,554,396200,0.5270838120875874,1186,1789,0.26,4.2,260524,0.004361628,0.26,603,0500000US34025,34025,3.29,877.31,222.93,174.98,CN3402500000000,34,25,335907,322337,13570,4,626351,0.09675246,0.82,0.07,0,0.06,0,0.03,0.02,,,0.064617124,0.041669926,0.025001956,0.011621279,0.01202361,0.037327313,0.054463073,0.05282661,0.054427949,0.060076539,0.071918142,0.05792918,0.081677845,0.082741147,0.031212531,0.040964252,0.022881739,0.034046405,0.042556011,0.026992852,0.020670519,0.022712505,0.049641495,0.51,0.4678,98270,0.4678,7.2,2.04,42.73,73,54.5,0.2873436508865172,0.1299849690776062,,,,10585,92,9458,100,,,,,,,,,5.391451571889776,4.232691831065705,1.1587597408240713
NJ-508,monmouth county,2018,335,263,72,98,15,222,121,213,82,162,0,0,0,0,22,146,4,1,['NJ-508'],['Monmouth County CoC'],Largely Suburban CoC,new jersey,436200,0.532312784,1261,1819,0.26,36,262157,0.003397834,0.26,558,408400,0.520665454,1240,1829,0.26,3.9,261139,0.004138981,0.26,589,0500000US34025,34025,4.44,916.27,232.83,182.75,CN3402500000000,34,25,336416,324474,11942,3.5,621354,0.099022457,0.84,0.07,0,0.05,0,0.01,0.02,,,0.068844813,0.041449802,0.023619386,0.010103741,0.009065686,0.040186432,0.056571616,0.0513234,0.056751868,0.0586944,0.069646289,0.051978421,0.078879351,0.083202168,0.032186161,0.042025963,0.024607551,0.031405608,0.044934128,0.032615868,0.018741329,0.023440744,0.049725277,0.51,0.4735,99642,0.4735,6.6,5.38,43.61,75,55.1,0.2965675784736913,0.1371811548041822,,,,10492,93,9298,100,,,,,,,,,5.801598268,4.928934461332106,0.8726638062686349
NJ-509,morris county,2010,297,240,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,444100,0.4485692958447375,1159,1932,0.23,102,189928,0.003504213,0,773,474700,0.4208500669344043,1129,,0.23,5.9,188329,0.003677829,0,,0500000US34027,34027,-3.44,885.79,199.02,149.52,,,,,,,,492694,0.084474339,0.82,0.03,0,0.09,0,0.04,0.02,,,0.075186627,0.044116632,0.023353238,0.010355312,0.012906591,0.024481727,0.051159543,0.054445559,0.06545442,0.080488092,0.090200002,0.063980889,0.082771457,0.074145413,0.024638011,0.029180384,0.017276443,0.023730754,0.032092942,0.023527788,0.018672848,0.022557612,0.055277718,0.51,,91469,0.449,6,3.26,49.96,72.9,24.2,0.2313559190394085,0.1365833368434354,,,,,,,,,,,,,,,,9.010537884665116,7.353891905870183,1.6566459787949315
NJ-509,morris county,2011,446,364,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,420400,0.4792863175675675,1201,1927,0.26,40,190653,0.005203973,0,726,463200,0.4290399106893665,1169,1993,0.24,5.8,189244,0.004181957,0,824,0500000US34027,34027,-3.86,851.56,191.33,143.74,,,,,,,,494976,0.085965784,0.82,0.03,0,0.09,0,0.04,0.02,,,0.071148904,0.04370919,0.024724431,0.010448991,0.008976193,0.028954939,0.052004542,0.055521884,0.056764368,0.08364446,0.087525456,0.064873852,0.08567082,0.06869828,0.021556601,0.040222152,0.018396852,0.027593257,0.02821753,0.028439763,0.020681811,0.018580699,0.053645025,0.51,0.444,91332,0.444,4.8,3.04,49.75,71.9,31.9,0.2294193781416488,0.1482588786958505,,,,,,,,,,,,,,,,5.642581611609661,4.196795575894731,1.445786035714931
NJ-509,morris county,2012,281,209,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,418100,0.4361094476945046,1213,1891,0.24,42,190726,0.002268229,0,678,446800,0.4375144215238359,1196,1999,0.24,6.2,189821,0.004073184,0,803,0500000US34027,34027,-2.58,829.59,186.4,140.03,CN3402700000000,34,27,267164,248090,19074,7.1,497999,0.085773265,0.82,0.03,0,0.1,0,0.04,0.02,,,0.070686889,0.043146673,0.027568328,0.009138573,0.008929737,0.030508093,0.052026209,0.054976014,0.060100522,0.076713005,0.087488127,0.063704947,0.085106597,0.071976048,0.02608439,0.032672756,0.021604461,0.025220934,0.03296593,0.023068319,0.02107434,0.023431774,0.051807333,0.51,0.4508,95294,0.4508,4.3,3.03,69.95,72,53.4,0.2373997375511503,0.1477617105166574,,,,3922,97,3739,97,,,,,,,,,6.9283555968498005,5.987220588029163,0.9411350088206377
NJ-509,morris county,2013,346,299,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,414000,0.3912954171991966,1183,1873,0.24,68,190770,0.003442283,0,690,432400,0.4381009476815237,1210,1981,0.24,6.2,190170,0.003333983,0,771,0500000US34027,34027,0.56,834.21,187.43,140.81,CN3402700000000,34,27,264216,247611,16605,6.3,499397,0.087773855,0.82,0.03,0,0.09,0,0.03,0.02,,,0.069243508,0.042923766,0.025608884,0.010857094,0.010843077,0.033049858,0.050731182,0.056578233,0.057279079,0.07543097,0.083767023,0.062531413,0.085042561,0.076908752,0.024449486,0.031075477,0.026684181,0.023157928,0.032937723,0.025542805,0.020172328,0.023680559,0.051504114,0.51,0.4628,100176,0.4628,4.3,2.93,41.41,71.3,50.1,0.2410790560610692,0.1401897572993657,,,,3778,97,3582,97,,,,,,,,,7.784250200609533,7.183922421642217,0.6003277789673162
NJ-509,morris county,2014,389,359,30,82,38,269,0,0,0,0,0,0,0,0,0,0,0,0,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,434700,0.400463646,1233,1871,0.26,37,191482,0.003851849,0,638,426700,0.4298389298389298,1227,1974,0.24,5.7,190509,0.003509923,0,747,0500000US34027,34027,2.9,858.39,192.87,144.89,CN3402700000000,34,27,261190,248086,13104,5,499727,0.087027517,0.82,0.03,0,0.1,0,0.03,0.02,,,0.070780646,0.042937444,0.025652006,0.00829653,0.010691838,0.037068239,0.051460097,0.056192681,0.057357317,0.070016229,0.083207431,0.057365321,0.086445199,0.074624745,0.027250879,0.034258705,0.024097157,0.02871768,0.035067147,0.023943073,0.019968903,0.022864484,0.051736248,0.51,0.4457,100579,0.4457,4.7,3.73,43.78,69.9,49.6,0.249180018,0.1499357641971569,,,,3880,96,3696,99,,,,,,,,,7.687549173288169,7.006880756903279,0.680668416
NJ-509,morris county,2015,384,350,34,100,35,249,157,227,87,260,0,0,0,1,0,104,6,13,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,433400,0.4201598540463055,1271,1914,0.26,69,191328,0.009549811,0,643,423400,0.4231932095585765,1235,1947,0.25,5.1,190765,0.005002971,0,712,0500000US34027,34027,2.08,876.28,196.89,147.91,CN3402700000000,34,27,260137,248914,11223,4.3,499509,0.086783221,0.82,0.03,0,0.1,0,0.02,0.02,,,0.065902716,0.043020246,0.024313876,0.012404181,0.01220999,0.035737094,0.0512223,0.056691671,0.054321344,0.070817543,0.079407979,0.059888811,0.086524968,0.07437904,0.028019515,0.037472798,0.018321992,0.029719184,0.039686973,0.02221982,0.019827471,0.027314823,0.050575665,0.51,0.4614,101661,0.4614,4.9,3.23,47.69,71,51.4,0.2568647977976813,0.1392686904164576,,,,3734,97,3589,99,,,,,,,,,8.225944629361004,7.543793123511556,0.6821515058494492
NJ-509,morris county,2016,410,376,34,104,27,279,169,241,83,251,0,0,0,0,31,122,4,2,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,443100,0.4193942897803077,1375,1956,0.25,60,192065,0.003750159,0,581,428900,0.4140876817310943,1277,1944,0.25,5.5,191081,0.004189525,0,667,0500000US34027,34027,1.59,890.25,200.03,150.27,CN3402700000000,34,27,259565,249498,10067,3.9,498423,0.082004643,0.81,0.03,0,0.11,0,0.04,0.02,,,0.066991291,0.043406905,0.025899688,0.01010788,0.012202487,0.038238605,0.05062768,0.05590031,0.060239997,0.064856558,0.077225569,0.057447188,0.083774224,0.074860109,0.028558072,0.03883649,0.021977316,0.033377272,0.035660473,0.027747516,0.018034882,0.024852384,0.049177105,0.51,0.4542,106985,0.4542,5.4,3.85,40.2,72.6,53.1,0.2668513458432089,0.1367714055137583,7443,191081,0.038952067,,,,,,,,,,,,,7.564644692,7.024312928137877,0.5403317637029136
NJ-509,morris county,2017,378,351,27,91,27,260,151,227,58,211,0,0,0,0,29,127,6,5,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,462400,0.4173000591166286,1328,1933,0.26,72,192979,0.00823869,0.23,605,438100,0.410844258,1306,1974,0.25,6,191642,0.004702316,0.24,668,0500000US34027,34027,1.42,902.91,202.87,152.41,CN3402700000000,34,27,264573,255195,9378,3.5,499693,0.082938924,0.81,0.03,0,0.11,0,0.02,0.02,,,0.065438179,0.0425081,0.025363573,0.013630369,0.010816641,0.036962695,0.051789799,0.0552119,0.057835511,0.065051942,0.075442322,0.056120458,0.083589324,0.079074552,0.031495338,0.033512577,0.022501816,0.031331237,0.038341542,0.031227173,0.01911974,0.023384358,0.050250854,0.51,0.4512,114732,0.4512,4.8,3.31,38.64,70.2,51.4,0.2617725778083658,0.132765741,,,,3710,97,3682,100,,,,,,,,,8.052963409600427,7.344788235389334,0.7081751742110929
NJ-509,morris county,2018,398,363,35,93,29,276,167,230,85,234,0,0,0,0,8,146,8,2,['NJ-509'],['Morris County CoC'],Largely Suburban CoC,new jersey,469900,0.3976348854397635,1456,1995,0.27,41,194256,0.005491422,0.24,539,448800,0.4095818213236564,1380,2015,0.26,5.4,192378,0.005295861,0.24,635,0500000US34027,34027,3.13,931.13,209.21,157.17,CN3402700000000,34,27,263695,255399,8296,3.1,494228,0.089523459,0.82,0.04,0,0.11,0,0.02,0.02,,,0.06685983,0.042087862,0.024059746,0.009311492,0.011777965,0.041478832,0.053430805,0.054606376,0.056666154,0.066793059,0.072369433,0.051623947,0.080881698,0.076725722,0.028849033,0.0418572,0.020723229,0.029271915,0.043726782,0.033249836,0.018461115,0.025164499,0.050023471,0.51,0.4738,112288,0.4738,4.5,5.04,42.73,72.2,51.6,0.2749033717751312,0.1266473107651758,,,,3692,100,3650,99,,,,,,,,,7.888664111661194,7.034736553182404,0.853927558
