CoC Number,County,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,total_homeless_per_10k
CA-611,ventura county,972.18,69.5,465600,413100.0,1926,1243,1793.0,1689.0,0,683,0,1356.0,0,1356,2.2670647297851456,0.019403551,0,0.0,0.08,1.46,0.04,0.07,0,643784.0,0.031413393,0.02,0.021615324,19.93759081489245
CA-611,ventura county,1064.9,70.0,442200,443700.0,1674,1074,1780.0,1724.0,0,600,0,1432.0,0,1381,2.255596294421476,0.019935209,0,0.0,0.07,0.09,0.04,0.07,0,649939.0,0.031677426,0.02,0.021578809,16.875881906643755
CA-611,ventura county,1205.47,69.8,444800,483100.0,1428,910,1769.0,1694.0,0,518,0,1422.0,86,1401,2.2224545961543125,0.020365691,0,0.0,0.05,1.97,0.04,0.07,0,659856.0,0.029608428,0.02,0.026852506,16.660082583218113
CA-611,ventura county,1250.33,70.4,458100,528700.0,1417,957,1752.0,1760.0,244,460,16,1465.0,113,1416,2.162435618564671,0.017644168,51,0.0,0.05,4.78,0.04,0.07,12,666147.0,0.032219683,0.02,0.023768541,14.95755162179401
CA-611,ventura county,1333.19,70.5,481400,561400.0,1271,777,1770.0,1802.0,183,494,17,1553.0,71,1468,2.1277966665517853,0.019817873,27,0.0,0.05,10.18,0.05,0.07,20,667357.0,0.035263811,0.02,0.026543476,13.485939854113036
CA-611,ventura county,1404.54,71.7,520300,592500.0,1152,664,1820.0,1857.0,123,488,9,1643.0,62,1540,2.0580328034798248,0.020777947,35,0.0,0.05,2.87,0.04,0.08,8,671758.0,0.034657227,0.02,0.023438844,15.37074880694551
CA-611,ventura county,1465.93,71.1,559700,614400.0,1308,830,1870.0,1881.0,76,478,5,1657.0,51,1595,1.970705646480692,0.021772877,28,0.0,0.05,8.17,0.05,0.08,12,672348.0,0.033374972,0.02,0.0263653,19.727992472866624
FL-502,pinellas county,432.89,84.1,185700,154600.0,3948,2157,1053.5,967.0,0,1791,0,761.0,0,754,2.631751953517868,0.035342346,0,0.0,0.01,5.81,0.02,0.03,0,1073690.0,0.045056337,0.1,0.029888112,42.40253412368459
FL-502,pinellas county,398.43,83.4,172900,143600.0,3890,2020,993.0,942.0,0,1870,0,757.0,0,772,2.631751953517868,0.033625537,0,0.0,0.01,1.68,0.02,0.03,0,1073690.0,0.040406672,0.1,0.032508246,43.101249404386536
FL-502,pinellas county,401.22,82.2,161600,142200.0,3971,2020,988.0,918.0,0,1951,0,757.0,0,787,4.272722436528728,0.038048711,0,0.0,0.01,0.83,0.02,0.03,0,770703.0,0.04463492,0.1,0.027674454,42.11838354961208
FL-502,pinellas county,435.03,82.9,151500,138000.0,3913,2087,972.0,899.0,0,1826,0,790.0,0,793,4.349995423093138,0.033125307,0,0.0,0.01,3.65,0.03,0.03,0,775633.0,0.042058107,0.1,0.029458112,36.14760931160711
FL-502,pinellas county,486.2,83.1,146500,150900.0,3391,1178,964.0,927.0,0,2213,0,811.0,154,795,4.338108883,0.036577202,0,0.0,0.01,1.99,0.03,0.03,0,785250.0,0.042002008,0.1,0.030901889,35.65912529334289
FL-502,pinellas county,529.07,83.0,150200,170500.0,3387,1172,946.0,954.0,99,2215,4,836.0,158,800,4.235792004206994,0.038020608,31,0.0,0.01,5.92,0.03,0.03,8,798670.0,0.04431228,0.1,0.030803504,28.905103410947923
FL-502,pinellas county,587.04,83.9,157500,186500.0,2777,1139,952.0,954.0,93,1638,9,850.0,130,819,4.112305939764345,0.036739771,31,0.0,0.02,1.16,0.03,0.03,8,810251.0,0.049124104,0.1,0.031455248,29.16641339656329
FL-502,pinellas county,645.15,83.5,167100,197300.0,2831,1152,970.0,975.0,106,1679,8,914.0,116,851,3.970737048968757,0.035707479,25,0.0,0.02,4.18,0.03,0.03,4,818236.0,0.045661766,0.1,0.031754405,26.78205233368879
FL-502,pinellas county,704.37,83.4,183000,215800.0,2612,965,1005.0,1018.0,92,1647,9,963.0,129,897,3.8526603001364257,0.035935321,23,0.0,0.01,4.18,0.03,0.03,7,824625.0,0.04686244,0.1,0.034632106,24.769332387004663
FL-600,miami-dade county,516.53,84.2,269600,207100.0,3879,759,1053.5,1160.0,0,3120,0,893.0,0,877,2.631751953517868,0.017488771,0,0.0,0.04,3.01,0.01,0.02,0,1073690.0,0.030927456,0.19,0.019886812,14.940702984148055
FL-600,miami-dade county,486.97,83.2,246800,174700.0,3817,789,1242.0,1184.0,0,3028,0,922.0,0,913,2.631751953517868,0.020428485,0,0.0,0.03,0.16,0.01,0.02,0,1073690.0,0.029969085,0.19,0.021792994,15.345219188471017
FL-600,miami-dade county,490.32,82.2,221900,181500.0,3976,868,1229.0,1158.0,0,3108,0,938.0,0,934,2.235905701499505,0.020664715,0,0.0,0.02,0.5,0.01,0.02,0,2082154.0,0.029951351,0.19,0.024027078,14.527108608668277
FL-600,miami-dade county,544.41,82.7,201000,192500.0,3802,839,1211.0,1148.0,0,2963,0,961.0,0,949,2.256755781170445,0.020840402,0,0.0,0.02,2.65,0.01,0.02,0,2105456.0,0.03018024,0.18,0.022188038,15.607197336411712
FL-600,miami-dade county,615.04,82.9,194100,216000.0,4156,840,1198.0,1162.0,0,3316,0,977.0,291,962,2.211742095,0.022763,0,0.0,0.02,1.05,0.01,0.02,0,2149889.0,0.032861863,0.19,0.022672871,15.417079911492891
FL-600,miami-dade county,675.12,83.6,203300,251900.0,4152,1007,1188.0,1200.0,189,3145,3,1031.0,255,977,2.1677573506472534,0.021530071,1,0.0,0.03,6.55,0.01,0.02,2,2179672.0,0.032626135,0.18,0.024181645,15.610342266430024
FL-600,miami-dade county,735.48,84.0,221100,265200.0,4235,982,1200.0,1238.0,68,3253,0,1076.0,207,1000,2.1101263298417257,0.023805864,0,0.0,0.05,1.86,0.02,0.02,12,2196314.0,0.031463594,0.18,0.022580996,13.522077944731368
FL-600,miami-dade county,793.17,83.7,242800,288100.0,3721,1011,1236.0,1297.0,33,2710,2,1159.0,204,1060,2.014166956386339,0.022466418,10,0.0,0.04,1.09,0.02,0.02,9,2234919.0,0.033090026,0.17,0.023297875,12.731837306238708
FL-600,miami-dade county,851.37,83.3,268200,317100.0,3516,1030,1290.0,1342.0,27,2486,4,1211.0,182,1132,1.945411638,0.024961426,5,0.0,0.05,2.63,0.02,0.02,12,2242456.0,0.032692867,0.17,0.024996913,12.779082349996688
GA-503,clarke county,516.05,80.5,161400,161400.0,496,227,1053.5,806.0,0,269,0,568.0,0,587,2.631751953517868,0.01049988,0,0.0,0.02,3.16,0.03,0.04,0,1073690.0,0.020948332,0.26,0.018608359,34.684346877556585
GA-503,clarke county,482.71,80.7,161100,157100.0,407,129,825.0,788.0,0,278,0,577.0,0,597,2.631751953517868,0.01187108,0,0.0,0.01,3.52,0.03,0.04,0,1073690.0,0.024287565,0.25,0.012305699,30.01679610197396
GA-503,clarke county,458.2,77.6,161100,153300.0,361,223,838.0,798.0,0,138,0,605.0,0,606,2.631751953517868,0.010776113,0,0.0,0.01,5.18,0.01,0.04,0,1073690.0,0.022591589,0.27,0.016214059,17.56483733971055
GA-503,clarke county,469.62,75.9,156600,141800.0,213,95,842.0,801.0,0,118,0,641.0,0,619,2.631751953517868,0.014299262,0,0.0,0.02,4.35,0.02,0.04,0,1073690.0,0.021275718,0.26,0.018001897,20.42368817079826
GA-503,clarke county,490.48,77.4,152700,150000.0,247,87,840.0,822.0,0,160,0,650.0,24,626,2.631751953517868,0.014867122,0,0.0,0.03,3.24,0.02,0.05,0,1073690.0,0.021730143,0.28,0.020580793,18.238750080702435
GA-503,clarke county,508.39,79.2,150300,153300.0,226,91,832.0,832.0,4,135,0,641.0,11,634,2.631751953517868,0.010103945,2,0.0,0.03,3.97,0.02,0.04,0,1073690.0,0.027382336,0.27,0.015293111,17.96210316983008
GA-503,clarke county,546.15,80.9,152300,170400.0,224,76,835.0,795.0,5,148,0,656.0,16,645,2.631751953517868,0.008050871,1,0.0,0.03,6.45,0.02,0.04,1,1073690.0,0.025571941,0.28,0.018723889,18.80941887552729
GA-503,clarke county,587.31,77.5,154600,167300.0,239,93,845.0,856.0,0,146,2,707.0,13,663,2.631751953517868,0.011797205,4,0.0,0.03,4.76,0.03,0.04,1,1073690.0,0.020249638,0.27,0.023185167,16.649650514411373
GA-503,clarke county,635.51,78.0,163700,191800.0,212,46,869.0,882.0,11,166,2,709.0,11,681,2.631751953517868,0.013704547,3,0.0,0.02,5.75,0.03,0.04,0,1073690.0,0.028744208,0.28,0.015322391,18.46786824695514
GA-504,richmond county,352.26,82.8,99300,95500.0,556,44,1053.5,786.0,0,512,0,547.0,0,533,2.631751953517868,0.014014577,0,0.0,0.01,2.1,0.03,0.02,0,1073690.0,0.029889804,0.54,0.024452128,24.699702311434915
GA-504,richmond county,330.07,83.0,101700,106100.0,497,5,790.0,800.0,0,492,0,595.0,0,550,2.631751953517868,0.012240516,0,0.0,0.01,1.74,0.03,0.02,0,1073690.0,0.029192364,0.54,0.018075014,19.547157517510996
GA-504,richmond county,315.81,79.3,102500,105900.0,396,5,798.0,789.0,0,391,0,582.0,0,567,2.631751953517868,0.012804375,0,0.0,0.01,1.0,0.03,0.02,0,1073690.0,0.027775721,0.55,0.023861353,23.56400647515136
GA-504,richmond county,317.62,78.3,100900,94800.0,476,146,803.0,781.0,0,330,0,611.0,0,582,2.631751953517868,0.013767122,0,0.0,0.01,2.78,0.03,0.02,0,1073690.0,0.030756969,0.54,0.022653129,23.439672639148224
GA-504,richmond county,319.32,79.8,100400,102400.0,472,146,814.0,769.0,0,326,0,585.0,35,596,2.631751953517868,0.016661038,0,0.0,0.01,2.36,0.02,0.02,0,1073690.0,0.036286798,0.56,0.024601724,20.169183271966816
GA-504,richmond county,330.07,81.3,101900,102200.0,407,129,809.0,820.0,16,278,1,611.0,22,602,2.631751953517868,0.009470101,2,0.0,0.02,2.0,0.02,0.02,1,1073690.0,0.03367312,0.56,0.02364304,14.232792950056286
GA-504,richmond county,332.0,82.6,100600,101600.0,287,21,804.0,800.0,9,266,0,646.0,15,613,2.631751953517868,0.013236002,2,0.0,0.01,10.04,0.01,0.02,5,1073690.0,0.037218506,0.57,0.028014302,12.190287413280476
GA-504,richmond county,355.21,80.2,100200,101800.0,246,47,816.0,814.0,9,199,1,673.0,5,629,2.631751953517868,0.013151635,1,0.0,0.01,2.57,0.03,0.02,0,1073690.0,0.037705649,0.56,0.027160555,13.34629925479028
GA-504,richmond county,371.72,80.8,104700,108500.0,269,47,843.0,830.0,10,222,2,678.0,13,655,2.631751953517868,0.013777945,1,0.0,0.01,4.48,0.03,0.02,1,1073690.0,0.044519087,0.56,0.025923574,18.961277516072645
IL-503,champaign county,238.66,75.9,145200,157300.0,534,4,1053.5,843.0,0,530,0,604.0,0,599,2.631751953517868,0.013336181,0,0.0,0.01,0.84,0.02,0.09,0,1073690.0,0.022420678,0.13,0.023006775,11.453504226888464
IL-503,champaign county,233.62,75.2,147800,149600.0,231,26,874.0,871.0,0,205,0,661.0,0,627,2.631751953517868,0.016634851,0,0.0,0.0,2.68,0.02,0.1,0,1073690.0,0.02857922,0.13,0.018290899,10.281587595190777
IL-503,champaign county,231.76,75.0,149000,145400.0,209,26,886.0,855.0,0,183,0,646.0,0,642,2.631751953517868,0.012534682,0,0.0,0.01,2.8,0.03,0.1,0,1073690.0,0.022693284,0.12,0.024695488,10.444272000078088
IL-503,champaign county,230.59,71.8,149500,147300.0,214,43,888.0,832.0,0,171,0,670.0,0,658,2.631751953517868,0.016920697,0,0.0,0.01,1.68,0.03,0.09,0,1073690.0,0.028716867,0.12,0.021059362,9.897022685907125
IL-503,champaign county,233.48,71.7,149200,145500.0,205,12,886.0,873.0,0,193,0,675.0,21,672,2.631751953517868,0.012426798,0,0.0,0.0,1.34,0.03,0.1,0,1073690.0,0.031028373,0.13,0.019996814,7.804233437549375
IL-503,champaign county,238.82,71.9,150200,157800.0,163,10,888.0,925.0,6,153,0,724.0,25,682,2.631751953517868,0.015201498,2,0.0,0.02,0.79,0.03,0.11,0,1073690.0,0.027535059,0.13,0.023934578,9.020290856399848
IL-503,champaign county,242.74,74.5,151400,161500.0,188,18,895.0,890.0,12,170,0,700.0,23,695,2.631751953517868,0.021154501,3,0.0,0.01,2.96,0.03,0.11,2,1073690.0,0.031417481,0.13,0.023414372,7.640915190616956
IL-503,champaign county,244.77,73.0,154800,169200.0,160,17,913.0,893.0,8,143,1,690.0,15,708,2.631751953517868,0.01439835,4,0.0,0.01,0.97,0.03,0.1,5,1073690.0,0.028624779,0.14,0.030382189,8.953105728
IL-503,champaign county,250.45,74.2,157800,167400.0,188,9,930.0,916.0,8,179,0,703.0,15,723,2.631751953517868,0.017439507,0,0.0,0.01,3.31,0.03,0.11,0,1073690.0,0.036874414,0.13,0.021882724,7.201140736996218
MN-500,hennepin county,563.08,71.9,247900,238000.0,3056,248,1053.5,1165.0,0,2808,0,794.0,0,788,2.631751953517868,0.01925477,0,0.0,0.02,0.84,0.03,0.06,0,1073690.0,0.028523596,0.12,0.023086323,26.53130565690229
MN-500,hennepin county,528.85,71.6,244100,225200.0,3100,169,1221.0,1160.0,0,2931,0,806.0,0,810,2.631751953517868,0.018779885,0,0.0,0.02,0.41,0.03,0.06,0,1073690.0,0.030626541,0.12,0.023526421,27.73144146091091
MN-500,hennepin county,525.34,72.5,238300,219200.0,3285,144,1220.0,1148.0,0,3141,0,831.0,0,831,2.585419770291701,0.020126189,0,0.0,0.02,0.63,0.03,0.07,0,936405.0,0.032158342,0.12,0.025124602,29.95550468894157
MN-500,hennepin county,551.88,70.1,230900,221100.0,3591,164,1206.0,1140.0,0,3427,0,860.0,0,846,2.569921161655004,0.018944292,0,0.0,0.03,1.15,0.04,0.07,0,947889.0,0.03170562,0.12,0.023060984,30.782202919977824
MN-500,hennepin county,588.16,69.6,227400,228000.0,3731,210,1194.0,1163.0,0,3521,0,883.0,329,859,2.518029758722617,0.019452768,0,0.0,0.02,0.28,0.03,0.07,0,961466.0,0.03325402,0.12,0.023699244,26.28461454818669
MN-500,hennepin county,607.74,69.4,229200,250100.0,3215,123,1182.0,1185.0,188,3092,16,927.0,294,874,2.4589632195530826,0.019212704,197,0.0,0.03,0.28,0.03,0.07,67,971141.0,0.034118493,0.13,0.023643072,24.79547385237768
MN-500,hennepin county,637.88,71.0,235800,257700.0,3056,170,1199.0,1229.0,56,2886,14,950.0,286,904,2.3807117945514618,0.020314276,207,0.0,0.03,0.64,0.04,0.07,35,979749.0,0.036705577,0.13,0.024886347,24.41646486009853
MN-500,hennepin county,679.51,69.1,245400,274900.0,3057,298,1232.0,1262.0,226,2759,6,1008.0,331,947,2.256226302355378,0.018951713,372,0.0,0.04,0.89,0.03,0.07,47,997462.0,0.033970595,0.13,0.025577784,23.92355894898319
MN-500,hennepin county,721.9,71.1,260300,289900.0,3013,404,1279.0,1306.0,232,2609,25,1046.0,244,992,2.170302446649639,0.018958607,230,0.0,0.03,0.28,0.04,0.07,41,1003086.0,0.034897588,0.13,0.024562738,26.85957105265029
MN-501,ramsey county,515.13,72.0,222700,207700.0,1424,96,1053.5,951.0,0,1328,0,725.0,0,728,2.631751953517868,0.018840807,0,0.0,0.01,0.89,0.04,0.12,0,1073690.0,0.029036755,0.11,0.020611796,27.95825108
MN-501,ramsey county,477.72,71.7,217400,192500.0,1439,117,993.0,975.0,0,1322,0,738.0,0,742,2.631751953517868,0.019156939,0,0.0,0.03,0.45,0.04,0.12,0,1073690.0,0.036893623,0.11,0.024515442,23.416232178286347
MN-501,ramsey county,468.74,72.8,208100,184900.0,1218,111,996.0,962.0,0,1107,0,763.0,0,750,2.631751953517868,0.019609653,0,0.0,0.01,0.81,0.04,0.13,0,1073690.0,0.029366416,0.11,0.024754303,26.902645458446138
MN-501,ramsey county,489.26,70.1,198200,187000.0,1417,71,1000.0,994.0,0,1346,0,777.0,0,768,2.631751953517868,0.018964751,0,0.0,0.02,1.28,0.04,0.13,0,1073690.0,0.031783852,0.11,0.021535406,28.160817039171697
MN-501,ramsey county,522.19,69.8,194000,197700.0,1500,68,1004.0,984.0,0,1432,0,790.0,206,779,2.631751953517868,0.02141724,0,0.0,0.02,0.29,0.04,0.14,0,1073690.0,0.03459087,0.11,0.025968028,25.97870786589932
MN-501,ramsey county,538.92,69.4,193700,207600.0,1398,84,1005.0,1023.0,233,1314,5,834.0,200,789,2.631751953517868,0.022290029,70,0.0,0.01,0.3,0.04,0.14,32,1073690.0,0.035193902,0.12,0.022420108,24.896004616673665
MN-501,ramsey county,568.69,70.9,199200,220100.0,1346,136,1026.0,1049.0,135,1210,14,869.0,181,821,2.631751953517868,0.021163454,59,0.0,0.03,0.68,0.05,0.14,30,1073690.0,0.036905645,0.11,0.025445344,26.242120976542683
MN-501,ramsey county,605.26,69.1,208700,231100.0,1438,166,1067.0,1096.0,125,1272,2,923.0,176,858,2.631751953517868,0.017316515,73,0.0,0.02,0.84,0.03,0.15,48,1073690.0,0.035280871,0.12,0.021143339,25.881027244143148
MN-501,ramsey county,647.2,71.3,219400,240900.0,1424,129,1102.0,1102.0,103,1295,6,895.0,146,892,2.631751953517868,0.020955635,48,0.0,0.02,0.37,0.05,0.15,51,1073690.0,0.033756202,0.12,0.025862852,28.69234501318321
NC-500,forsyth county,346.6,78.5,149000,150500.0,543,41,1053.5,803.0,0,502,0,554.0,0,542,2.631751953517868,0.020527417,0,0.0,0.05,1.11,0.02,0.02,0,1073690.0,0.035410648,0.27,0.024515064,14.847077914760304
NC-500,forsyth county,339.37,77.6,150800,151800.0,527,51,840.0,809.0,0,476,0,544.0,0,556,2.631751953517868,0.017393901,0,0.0,0.02,1.92,0.02,0.02,0,1073690.0,0.032235344,0.26,0.021845207,15.524785207895304
NC-500,forsyth county,330.92,76.0,151700,153800.0,556,120,837.0,788.0,0,436,0,568.0,0,566,2.631751953517868,0.016957198,0,0.0,0.02,6.03,0.02,0.02,0,1073690.0,0.033478808,0.26,0.022915812,10.90748020596866
NC-500,forsyth county,329.47,74.7,150600,149700.0,394,13,830.0,799.0,0,381,0,587.0,0,575,2.631751953517868,0.017299707,0,0.0,0.04,3.65,0.02,0.02,0,1073690.0,0.031050329,0.26,0.026103206,14.098078828791834
NC-500,forsyth county,329.09,74.5,150300,144900.0,515,19,837.0,832.0,0,496,0,594.0,27,588,2.631751953517868,0.020895269,0,0.0,0.04,1.87,0.02,0.02,0,1073690.0,0.034708649,0.26,0.024615519,15.47345800622732
NC-500,forsyth county,343.75,76.8,151100,151600.0,571,22,824.0,803.0,6,549,0,594.0,41,587,2.631751953517868,0.016977446,0,0.0,0.03,2.19,0.02,0.02,1,1073690.0,0.034087676,0.26,0.019638555,14.642904247788088
NC-500,forsyth county,351.42,77.8,151300,153200.0,544,38,826.0,810.0,18,506,0,594.0,34,599,2.631751953517868,0.015636145,6,0.0,0.02,4.56,0.02,0.02,0,1073690.0,0.033961309,0.26,0.0282495,12.037627551020408
NC-500,forsyth county,364.83,75.5,151400,156500.0,453,25,842.0,830.0,17,428,4,647.0,28,622,2.631751953517868,0.018340774,4,0.0,0.02,2.48,0.02,0.03,0,1073690.0,0.036272321,0.26,0.021077806,11.606466912336884
NC-500,forsyth county,387.61,76.8,154500,163200.0,440,33,860.0,835.0,13,407,2,652.0,19,637,2.631751953517868,0.018757633,4,0.0,0.03,4.0,0.03,0.03,1,1073690.0,0.035573821,0.26,0.025307374,11.875645770936057
NC-502,durham county,427.56,79.6,176100,177400.0,675,68,1053.5,960.0,0,607,0,648.0,0,665,2.631751953517868,0.016498171,0,0.0,0.09,1.18,0.03,0.04,0,1073690.0,0.02484597,0.38,0.018889642,21.83677649675192
NC-502,durham county,416.33,79.3,178400,181100.0,597,58,985.0,963.0,0,539,0,675.0,0,686,2.631751953517868,0.01436399,0,0.0,0.03,1.87,0.02,0.04,0,1073690.0,0.032147978,0.37,0.019188564,24.960574450813724
NC-502,durham county,413.44,76.9,179800,176600.0,698,63,998.0,963.0,0,635,0,720.0,0,704,2.631751953517868,0.013828444,0,0.0,0.02,3.67,0.03,0.05,0,1073690.0,0.028568772,0.37,0.023734002,26.13376461564625
NC-502,durham county,418.91,75.5,180600,179000.0,753,53,1000.0,977.0,0,700,0,730.0,0,718,2.631751953517868,0.016995624,0,0.0,0.03,3.0,0.04,0.04,0,1073690.0,0.02773372,0.38,0.022885265,27.54194118046594
NC-502,durham county,443.89,75.8,180200,181900.0,811,53,1009.0,989.0,0,758,0,760.0,39,728,2.631751953517868,0.015615024,0,0.0,0.04,3.1,0.03,0.04,0,1073690.0,0.030448957,0.38,0.026750662,27.014274701613544
NC-502,durham county,462.05,77.5,183800,195200.0,813,44,1003.0,1029.0,30,769,0,779.0,46,743,2.631751953517868,0.014610303,3,0.0,0.04,1.6,0.03,0.05,0,1073690.0,0.033460485,0.37,0.023365852,11.560618133841912
NC-502,durham county,492.76,78.6,186800,194800.0,354,32,1023.0,1032.0,18,322,0,819.0,24,771,2.631751953517868,0.015231278,3,0.0,0.03,3.41,0.03,0.05,0,1073690.0,0.032235837,0.37,0.02192272,11.359260685406236
NC-502,durham county,538.4,77.0,195900,227200.0,354,60,1061.0,1086.0,12,294,0,888.0,27,815,2.631751953517868,0.017619689,1,0.0,0.04,3.84,0.03,0.05,0,1073690.0,0.03405532,0.36,0.023588114,10.671246673128348
NC-502,durham county,591.66,77.6,209300,233300.0,338,53,1099.0,1100.0,8,285,2,902.0,27,856,2.631751953517868,0.013266443,3,0.0,0.03,3.67,0.03,0.05,0,1073690.0,0.034384777,0.36,0.022346475,11.229034987309014
NC-507,wake county,473.97,80.2,222300,232800.0,1180,121,1053.5,1135.0,0,1059,0,713.0,0,708,2.631751953517868,0.009454568,0,0.0,0.03,1.49,0.02,0.05,0,1073690.0,0.026209275,0.21,0.019936734,12.36851728
NC-507,wake county,460.11,79.9,227600,225700.0,1150,152,1159.0,1132.0,0,998,0,720.0,0,735,2.631751953517868,0.010240057,0,0.0,0.03,2.33,0.02,0.05,0,1073690.0,0.026788057,0.21,0.01964013,11.720829994402148
NC-507,wake county,453.77,77.4,230400,227400.0,1116,188,1159.0,1100.0,0,928,0,772.0,0,749,2.631751953517868,0.01093209,0,0.0,0.02,3.14,0.02,0.06,0,1073690.0,0.026904346,0.21,0.019187083,11.269756714896708
NC-507,wake county,463.37,76.2,229000,224100.0,1098,96,1150.0,1091.0,0,1002,0,804.0,0,773,2.315976403005456,0.01191125,0,0.0,0.03,2.92,0.02,0.06,0,743315.0,0.024698011,0.21,0.020109023,11.715335374004573
NC-507,wake county,487.36,76.3,229200,237400.0,1170,124,1154.0,1119.0,0,1046,0,826.0,90,793,2.2570862996686043,0.009885941,0,0.0,0.03,3.61,0.03,0.06,0,767361.0,0.027068433,0.2,0.022435368,8.826418329268364
NC-507,wake county,509.03,78.4,234000,252500.0,904,148,1142.0,1158.0,8,756,3,861.0,78,810,2.2171309857481885,0.01018846,12,0.0,0.03,2.43,0.03,0.06,3,791338.0,0.02586121,0.21,0.021503655,7.814358358067656
NC-507,wake county,542.29,79.2,241600,268400.0,818,138,1154.0,1174.0,26,680,0,918.0,62,852,2.1446093583853054,0.011970871,7,0.0,0.04,3.53,0.03,0.07,1,808772.0,0.029597121,0.2,0.019280831,8.244707392
NC-507,wake county,580.36,77.8,250700,276000.0,884,188,1182.0,1205.0,56,696,1,958.0,58,891,2.035236609764093,0.011218025,12,0.0,0.05,3.4,0.03,0.07,8,832827.0,0.028853678,0.2,0.024844176,8.999317956065385
NC-507,wake county,615.82,78.4,265800,301900.0,983,192,1220.0,1244.0,33,791,4,1010.0,62,943,1.93606758,0.01150869,12,0.0,0.04,3.52,0.04,0.07,10,853276.0,0.029878102,0.2,0.021410687,8.724896807857085
NC-511,cumberland county,238.33,81.4,116900,126900.0,1033,739,1053.5,894.0,0,294,0,654.0,0,617,2.631751953517868,0.008624054,0,0.0,0.03,1.25,0.06,0.02,0,1073690.0,0.025038484,0.36,0.017404228,32.65770965110732
NC-511,cumberland county,237.79,81.1,123400,134400.0,1061,776,914.0,897.0,0,285,0,640.0,0,639,2.631751953517868,0.010102036,0,0.0,0.02,2.07,0.04,0.02,0,1073690.0,0.023460609,0.36,0.020862767,49.560405987983295
NC-511,cumberland county,231.89,78.3,126300,124500.0,1606,1300,924.0,893.0,0,306,0,686.0,0,655,2.631751953517868,0.009810245,0,0.0,0.02,1.91,0.06,0.02,0,1073690.0,0.026344781,0.37,0.02039815,19.363490460949272
NC-511,cumberland county,227.73,77.7,128700,130800.0,631,344,920.0,868.0,0,287,0,660.0,0,664,2.631751953517868,0.009565135,0,0.0,0.02,4.42,0.06,0.02,0,1073690.0,0.027728764,0.37,0.02004781,20.010541541026207
NC-511,cumberland county,224.14,78.2,128600,124100.0,653,385,916.0,875.0,0,268,0,684.0,73,681,2.631751953517868,0.009395455,0,0.0,0.02,4.82,0.06,0.03,0,1073690.0,0.025590817,0.36,0.021980952,18.31162494827661
NC-511,cumberland county,224.2,80.0,129300,128600.0,593,366,908.0,911.0,13,227,2,678.0,50,678,2.631751953517868,0.011190781,15,0.0,0.02,2.23,0.06,0.02,1,1073690.0,0.026062414,0.36,0.023647626,15.743121173122365
NC-511,cumberland county,224.98,81.1,129000,134300.0,515,291,904.0,883.0,8,224,2,683.0,22,687,2.631751953517868,0.013138628,10,0.0,0.02,2.64,0.06,0.02,0,1073690.0,0.024534814,0.38,0.023544373,13.291394273273472
NC-511,cumberland county,223.23,79.4,131200,136500.0,442,253,910.0,883.0,24,189,3,683.0,10,693,2.631751953517868,0.01096089,16,0.0,0.03,3.16,0.06,0.03,0,1073690.0,0.029785353,0.37,0.016695435,11.193693015978097
NC-511,cumberland county,229.41,80.0,132500,138700.0,372,225,936.0,939.0,33,147,5,719.0,34,711,2.631751953517868,0.011133512,4,0.0,0.03,3.18,0.06,0.03,0,1073690.0,0.029130683,0.37,0.021686276,9.805996262395348
NC-513,orange county,578.86,78.9,258800,271500.0,135,17,1053.5,964.0,0,118,0,687.0,0,709,2.631751953517868,0.011572539,0,0.0,0.02,1.27,0.02,0.07,0,1073690.0,0.028025962,0.12,0.016229871,10.018047217413724
NC-513,orange county,567.4,78.7,270300,262600.0,136,33,1021.0,1018.0,0,103,0,724.0,0,720,2.631751953517868,0.012058488,0,0.0,0.04,1.69,0.02,0.07,0,1073690.0,0.0253324,0.12,0.022120732,7.974423847876991
NC-513,orange county,564.15,76.3,272900,271400.0,110,28,1033.0,1000.0,0,82,0,763.0,0,732,2.631751953517868,0.006937749,0,0.0,0.01,3.89,0.04,0.07,0,1073690.0,0.027381272,0.11,0.025032441,8.763679890560875
NC-513,orange county,568.63,74.8,272600,270700.0,123,30,1056.0,1076.0,0,93,0,808.0,0,744,2.631751953517868,0.012098153,0,0.0,0.03,3.33,0.03,0.07,0,1073690.0,0.027074783,0.12,0.018011856,7.691212078
NC-513,orange county,581.94,75.1,272700,281400.0,108,9,1089.0,1131.0,0,99,0,837.0,3,783,2.631751953517868,0.011657883,0,0.0,0.03,2.79,0.02,0.08,0,1073690.0,0.03511608,0.12,0.025003561,9.126024024788828
